=== Статистика парсера референсных геномов прокариот (NCBI Datasets) ===

Общее число FASTA файлов: 250
Количество фенотипов (организмов/видов): 242

--- Количество геномов по фенотипам (организмам) ---

  {'taxId': 1280, 'organismName': 'Staphylococcus aureus', 'infraspecificNames': {'strain': 'ATCC BAA1680'}}: 5
  {'taxId': 562, 'organismName': 'Escherichia coli', 'infraspecificNames': {'strain': 'ST2747'}}: 3
  {'taxId': 562, 'organismName': 'Escherichia coli', 'infraspecificNames': {'strain': 'ST540'}}: 3
  {'taxId': 1280, 'organismName': 'Staphylococcus aureus', 'infraspecificNames': {'isolate': '1764', 'strain': 'SA0521'}}: 1
  {'taxId': 1280, 'organismName': 'Staphylococcus aureus', 'infraspecificNames': {'isolate': '1MPS', 'strain': 'SA0518'}}: 1
  {'taxId': 1280, 'organismName': 'Staphylococcus aureus', 'infraspecificNames': {'isolate': '63', 'strain': 'SA0519'}}: 1
  {'taxId': 1280, 'organismName': 'Staphylococcus aureus', 'infraspecificNames': {'isolate': 'RN1', 'strain': 'HG003'}}: 1
  {'taxId': 1280, 'organismName': 'Staphylococcus aureus', 'infraspecificNames': {'isolate': 'RN6607', 'strain': '502A'}}: 1
  {'taxId': 1280, 'organismName': 'Staphylococcus aureus', 'infraspecificNames': {'isolate': 'abscess/wound isolate', 'strain': 'UA-S391_USA300'}}: 1
  {'taxId': 1280, 'organismName': 'Staphylococcus aureus', 'infraspecificNames': {'strain': '2395 USA500'}}: 1
  {'taxId': 1280, 'organismName': 'Staphylococcus aureus', 'infraspecificNames': {'strain': '327'}}: 1
  {'taxId': 1280, 'organismName': 'Staphylococcus aureus', 'infraspecificNames': {'strain': '337'}}: 1
  {'taxId': 1280, 'organismName': 'Staphylococcus aureus', 'infraspecificNames': {'strain': '346'}}: 1
  {'taxId': 1280, 'organismName': 'Staphylococcus aureus', 'infraspecificNames': {'strain': 'A187'}}: 1
  {'taxId': 1280, 'organismName': 'Staphylococcus aureus', 'infraspecificNames': {'strain': 'A69'}}: 1
  {'taxId': 1280, 'organismName': 'Staphylococcus aureus', 'infraspecificNames': {'strain': 'A71'}}: 1
  {'taxId': 1280, 'organismName': 'Staphylococcus aureus', 'infraspecificNames': {'strain': 'ATCC 25923'}}: 1
  {'taxId': 1280, 'organismName': 'Staphylococcus aureus', 'infraspecificNames': {'strain': 'Bmb9393'}}: 1
  {'taxId': 1280, 'organismName': 'Staphylococcus aureus', 'infraspecificNames': {'strain': 'CDC 73-57501'}}: 1
  {'taxId': 1280, 'organismName': 'Staphylococcus aureus', 'infraspecificNames': {'strain': 'FDAARGOS_5'}}: 1
  {'taxId': 1280, 'organismName': 'Staphylococcus aureus', 'infraspecificNames': {'strain': 'FORC_001'}}: 1
  {'taxId': 1280, 'organismName': 'Staphylococcus aureus', 'infraspecificNames': {'strain': 'Gv69'}}: 1
  {'taxId': 1280, 'organismName': 'Staphylococcus aureus', 'infraspecificNames': {'strain': 'H-EMRSA-15'}}: 1
  {'taxId': 1280, 'organismName': 'Staphylococcus aureus', 'infraspecificNames': {'strain': 'MM25'}}: 1
  {'taxId': 1280, 'organismName': 'Staphylococcus aureus', 'infraspecificNames': {'strain': 'MM61'}}: 1
  {'taxId': 1280, 'organismName': 'Staphylococcus aureus', 'infraspecificNames': {'strain': 'MM66'}}: 1
  {'taxId': 1280, 'organismName': 'Staphylococcus aureus', 'infraspecificNames': {'strain': 'MM66-4'}}: 1
  {'taxId': 1280, 'organismName': 'Staphylococcus aureus', 'infraspecificNames': {'strain': 'MM66RVI-4'}}: 1
  {'taxId': 1280, 'organismName': 'Staphylococcus aureus', 'infraspecificNames': {'strain': 'MRSA_E1'}}: 1
